dchi1	chi2	P	F
1.3739898989899	0.732789026429254	1.27076236547171	21.9601083111297
1.3790303030303	0.730116402448608	1.27530570426207	21.9063038850281
1.38407070707071	0.727463242804142	1.27984821598294	21.8528867488086
1.38911111111111	0.724829335633545	1.28438990069273	21.7998527644177
1.39415151515152	0.722214472135066	1.28893075851417	21.7471978384651
1.39919191919192	0.719618446513049	1.29347078962161	21.694917924456
1.40423232323232	0.717041055924507	1.2980099942307	21.6430090243678
1.40927272727273	0.714482100426736	1.30254837259025	21.5914671897081
1.41431313131313	0.711941382925971	1.30708592497556	21.5402885221647
1.41935353535354	0.709418709127065	1.31162265168319	21.4894691739368
1.42439393939394	0.706913887484183	1.3161585530267	21.4390053478134
1.42943434343434	0.704426729152498	1.32069362933325	21.3888932970558
1.43447474747475	0.701957047940875	1.32522788094085	21.3391293251279
1.43951515151515	0.699504660265511	1.3297613081962	21.2897097853062
1.44455555555556	0.697069385104543	1.33429391145291	21.2406310802081
1.44959595959596	0.694651043953565	1.3388256910701	21.1918896612374
1.45463636363636	0.692249460782071	1.34335664741128	21.1434820279944
1.45967676767677	0.689864461990784	1.34788678084342	21.0954047276375
1.46471717171717	0.687495876369861	1.35241609173624	21.047654354224
1.46975757575758	0.685143535057944	1.35694458046162	21.0002275480324
1.47479797979798	0.682807271502051	1.36147224739313	20.9531209948694
1.47983838383838	0.680486921418284	1.36599909290565	20.9063314253781
1.48487878787879	0.678182322753327	1.3705251173751	20.8598556143377
1.48991919191919	0.67589331564673	1.37505032117814	20.813690379968
1.4949595959596	0.673619742393949	1.37957470469203	20.7678325832386
1.5	0.671361447410128	1.38409826829444	20.7222791271818
